icao24,callsign,origin_country,longitude,latitude,velocity,baro_altitude,geo_altitude,vertical_rate,hour,delay_seconds
a4d496,N410ET  ,United States,-85.0777,33.6738,64.11,1036.32,1005.84,0.98,14,0
a06603,N1248E  ,United States,-90.3119,36.1239,63.16,556.26,571.5,0.0,14,0
a6014e,OUA10   ,United States,-97.318,34.7829,58.2,998.22,1043.94,0.33,14,0
acdc40,DAL1182 ,United States,-97.0763,37.1148,261.27,11277.6,11650.98,0.0,14,0
ad0343,CXK240  ,United States,-118.9723,35.2514,48.69,2773.68,2849.88,0.98,14,0
a6aaba,DAL1877 ,United States,-73.2787,39.7174,175.47,5364.48,5234.94,-12.03,14,0
a19910,JBU1329 ,United States,-79.338,33.9668,266.46,10668.0,10965.18,0.0,14,0
ac801e,EDV5004 ,United States,-80.2554,36.3991,217.1,8458.2,8625.84,-5.2,14,0
ac3cfc,EJA888  ,United States,-78.3652,34.5694,264.9,13106.4,13335.0,0.0,14,0
ab10df,AAL2073 ,United States,-122.4511,47.69,122.23,1242.06,1181.1,0.33,14,0
a3292e,N3020X  ,United States,-88.3714,31.0326,39.0,1432.56,1493.52,0.0,14,175
a20957,RPA5802 ,United States,-80.1791,40.4999,60.23,647.7,579.12,-3.25,14,7
a0b61c,N145JS  ,United States,-119.7331,38.0277,205.78,9144.0,9410.7,0.0,14,0
a136bc,N17785  ,United States,-84.6642,38.0776,69.14,815.34,815.34,3.58,14,0
aaf0cb,CXK1022 ,United States,-112.3197,34.0043,69.02,3032.76,3154.68,-0.33,14,0
a3c775,UAL1884 ,United States,-83.4411,29.6592,193.47,10972.8,11460.48,0.0,14,0
aaa36e,N785DK  ,United States,-85.2924,35.4043,57.11,1318.26,1363.98,0.0,14,1
a7f7a0,SKW4980 ,United States,-109.991,39.1122,254.46,9601.2,9982.2,4.23,14,1
a31609,N2983X  ,United States,-83.1325,32.5596,47.42,1310.64,1356.36,0.98,14,0
a817ac,EJA620  ,United States,-93.5405,36.1615,193.0,13106.4,13418.82,0.0,14,0
a0c94f,JTL15   ,United States,-85.0342,36.5201,215.69,13098.78,13304.52,-0.65,14,0
ad50c9,AAL2651 ,United States,-121.8878,37.8034,104.57,2232.66,2263.14,-2.93,14,0
406b48,VIR93   ,United Kingdom,-74.9115,41.6586,231.6,12192.0,12024.36,0.33,14,0
406b49,VIR155M ,United Kingdom,-101.6649,45.1113,216.6,12192.0,12359.64,0.0,14,0
a6140f,CYO491  ,United States,-72.8098,41.3087,258.43,12222.48,12047.22,-8.45,14,0
ab7394,AAL3071 ,United States,-84.7569,37.2166,219.72,11582.4,11788.14,0.33,14,0
ace32e,ASI120  ,United States,-97.6117,30.7095,40.68,548.64,541.02,-0.33,14,0
a4d42d,AAL1608 ,United States,-106.9793,32.0885,214.88,9768.84,10279.38,0.0,14,0
a44917,UAL1698 ,United States,-87.6013,28.5741,201.08,10363.2,10858.5,0.0,14,0
a44916,UAL2001 ,United States,-79.9166,33.6996,241.03,10668.0,10972.8,-0.33,14,0
